k,k_over_b,band_0,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21
-1.655528078862671115e-01,-2.634854771784232441e-01,-8.336116344054973160e+04,-6.750860371742422285e+04,-5.470173903564495413e+04,-4.201969421759002580e+04,-3.205880098983227072e+04,-2.254727001978744011e+04,-1.543235793659007504e+04,-9.091348893244396095e+03,-4.822474568896095661e+03,-1.652037218632834310e+03,-2.293720613718722632e+02,6.116355705677153765e+02,9.524539208348179500e+02,6.288197352448260972e+03,7.308263142950151632e+03,1.798109531407542818e+04,1.968119064399261333e+04,3.569051166657089198e+04,3.807064297291854018e+04,5.941641829715199856e+04,6.247658755648830993e+04,8.915880932825965283e+04
-1.629456770534125076e-01,-2.593360995850622630e-01,-8.322981412777466176e+04,-6.762690097071955097e+04,-5.459535439068240521e+04,-4.211302679576371884e+04,-3.197738102776837331e+04,-2.261563790331300697e+04,-1.537590273195445479e+04,-9.134751942462584339e+03,-4.790984874842010868e+03,-1.670474516070822347e+03,-2.228434725882937641e+02,6.006324081206058736e+02,9.663794925613657369e+02,6.252213447391871341e+03,7.347172279957560932e+03,1.792014641692462828e+04,1.974506485083223379e+04,3.560459805399640754e+04,3.815948190213628550e+04,5.930554000971925416e+04,6.259039116250327788e+04,8.902296637340474990e+04
-1.603385462205579037e-01,-2.551867219917012264e-01,-8.309856840281396580e+04,-6.774530181182480010e+04,-5.448907333356975141e+04,-4.220646296180838544e+04,-3.189606465367466444e+04,-2.268410937490635115e+04,-1.531955111597996256e+04,-9.178258581122923715e+03,-4.759598779275496781e+03,-1.689015416068546983e+03,-2.164184050401570119e+02,5.897307890049024763e+02,9.804106494102122724e+02,6.216333133472747249e+03,7.386185009280708982e+03,1.785930110802684794e+04,1.980904264598313966e+04,3.551878802932906547e+04,3.824842441927247273e+04,5.919476531012026680e+04,6.270429835635296331e+04,8.888722700635409274e+04
-1.577314153877032998e-01,-2.510373443983402453e-01,-8.296742626566774561e+04,-6.786380624073979561e+04,-5.438289586430718919e+04,-4.230000271572361817e+04,-3.181485186755203176e+04,-2.275268443456578461e+04,-1.526330308867365602e+04,-9.221868809211095140e+03,-4.728316282337190387e+03,-1.707659917832313795e+03,-2.100968623291187498e+02,5.789310817740540642e+02,9.945470257903100446e+02,6.180556410720888380e+03,7.425301330867994693e+03,1.779855938738512123e+04,1.987312402944169662e+04,3.543308159256930958e+04,3.833747052432654891e+04,5.908409419835518929e+04,6.281830913803743897e+04,8.875159122710771044e+04
-1.551242845548487237e-01,-2.468879668049792919e-01,-8.283638771633604483e+04,-6.798241425746477034e+04,-5.427682198289507505e+04,-4.239364605750908959e+04,-3.173374266940143571e+04,-2.282136308228954294e+04,-1.520715865004259649e+04,-9.265582626712819547e+03,-4.697137384169742290e+03,-1.726408020631400177e+03,-2.038788479759619463e+02,5.682335716527035174e+02,1.008788339422877129e+03,6.144883279166516331e+03,7.464521244668532745e+03,1.773792125500274051e+04,1.993730900120430306e+04,3.534747874371758371e+04,3.842662021729762637e+04,5.897352667442415986e+04,6.293242350755631196e+04,8.861605903566563211e+04
-1.525171537219941198e-01,-2.427385892116182831e-01,-8.270545275481890712e+04,-6.810112586199927318e+04,-5.417085168933350360e+04,-4.248739298716447956e+04,-3.165273705922405861e+04,-2.289014531807612730e+04,-1.515111780009398717e+04,-9.309400033614048880e+03,-4.666062084917783068e+03,-1.745259723792827117e+03,-1.977643654217264668e+02,5.576384828374646077e+02,1.023134369036441740e+03,6.109313738840073711e+03,7.503844750632153591e+03,1.767738671088294723e+04,2.000159756126731736e+04,3.526197948277471005e+04,3.851587349818542134e+04,5.886306273832729494e+04,6.304664146490965504e+04,8.848063043202784320e+04
-1.499100228891395159e-01,-2.385892116182572742e-01,-8.257462138111634704e+04,-6.821994105434369703e+04,-5.406498498362270766e+04,-4.258124350468942430e+04,-3.157183503702076996e+04,-2.295903114192384237e+04,-1.509518053883498760e+04,-9.353321029900778740e+03,-4.635090384728057870e+03,-1.764215026696881296e+03,-1.917534180284361298e+02,5.471459940022889441e+02,1.037584938857705765e+03,6.073847789772232318e+03,7.543271848709349797e+03,1.761695575502893917e+04,2.006598970962737076e+04,3.517658380974114698e+04,3.860523036698914075e+04,5.875270239006474731e+04,6.316096301009730814e+04,8.834530541619443102e+04
-1.473028920562849120e-01,-2.344398340248962653e-01,-8.244389359522858285e+04,-6.833885983449760533e+04,-5.395922186576308013e+04,-4.267519761008350906e+04,-3.149103660279249743e+04,-2.302802055383100742e+04,-1.503934686627301744e+04,-9.397345615559173893e+03,-4.604222283749454618e+03,-1.783273928772817726e+03,-1.858460090796600639e+02,5.367562493065343006e+02,1.052139907599923617e+03,6.038485431993873135e+03,7.582802538851248755e+03,1.755662838744406326e+04,2.013048544628075979e+04,3.509129172461738926e+04,3.869469082370824617e+04,5.864244562963671342e+04,6.327538814311891474e+04,8.821008398816545377e+04
-1.446957612234303081e-01,-2.302904564315352842e-01,-8.231326939715568733e+04,-6.845788220246120181e+04,-5.385356233575474471e+04,-4.276925530334658106e+04,-3.141034175654028513e+04,-2.309711355379601810e+04,-1.498361678241535446e+04,-9.441473790575562816e+03,-4.573457782132842112e+03,-1.802436429495045786e+03,-1.800421417809404545e+02,5.264693663570133140e+02,1.066799160497415187e+03,6.003226665536097244e+03,7.622436821009693631e+03,1.749640460813160462e+04,2.019508477122406111e+04,3.500610322740403353e+04,3.878425486834214826e+04,5.853229245704346977e+04,6.338991686397446756e+04,8.807496614794089692e+04
-1.420886303905757042e-01,-2.261410788381742754e-01,-8.218274878689744219e+04,-6.857700815823419543e+04,-5.374800639359798515e+04,-4.286341658447810187e+04,-3.132975049826516261e+04,-2.316631014181727005e+04,-1.492799028726949473e+04,-9.485705554936368571e+03,-4.542796880031374712e+03,-1.821702528379680189e+03,-1.743418192600726684e+02,5.162854420637943349e+02,1.081562603446594267e+03,5.968071490430245831e+03,7.662174695137149683e+03,1.743628441709495019e+04,2.025978768445385140e+04,3.492101831810172007e+04,3.887392250089017762e+04,5.842224287228499452e+04,6.350454917266371922e+04,8.793995189552078955e+04
